Image	Centroid X µm	Centroid Y µm	Area µm^2
3258.czi	6021.8	4760.5	33.7855
3258.czi	6428.3	15909.2	61.2574
3258.czi	30640.8	737.18	50.569
3258.czi	16091.1	10991.5	96.8466
3258.czi	10507.7	8835.9	80.4236
3258.czi	20689.2	7818.4	56.8872
3258.czi	24943.2	7497.4	64.9003
3258.czi	22701.3	4119.1	45.451
3258.czi	23873.4	5049.7	49.0286
3258.czi	32874.9	935.65	58.2476
3258.czi	21899.5	11005	61.9958
3258.czi	31839.2	725.64	38.2619
3258.czi	10427.8	8768.7	45.5982
3258.czi	20700.7	7820.5	48.4389
3258.czi	23430.3	2300.8	48.3127
3258.czi	21807.7	10030.1	118.3859
3258.czi	4044	8521.3	40.1565
3258.czi	11011.3	7888.9	45.022
3258.czi	7618.1	10249.8	54.4316
3258.czi	11911.4	12308.1	62.1813
3258.czi	20449.5	9874.5	76.844
3258.czi	12390.6	7738.1	63.7541
3258.czi	27823.3	6469	46.0027
3258.czi	13598.2	12480.9	64.406
3258.czi	31537.4	1491.5	39.4999
3258.czi	5027	4860.3	42.0377
3258.czi	20075.1	12051.7	46.3654
3258.czi	16084.8	11113.6	39.6087
3258.czi	14992.9	10509.4	47.4811
3258.czi	20297.9	9752.7	44.0999
3258.czi	2638.5	8755.8	46.3534
3258.czi	4745.8	2755.2	52.2445
3258.czi	19204.7	8243.4	56.1938
3258.czi	31027.4	682.92	223.3417
3258.czi	17027	8003.8	40.1912
3258.czi	35084.6	1725.9	52.3856
3258.czi	15367.4	670.56	43.5813
3258.czi	15616.4	4791.9	69.4646
3258.czi	8966.2	10107.8	43.6439
3258.czi	28942.3	4343.6	66.0897
3258.czi	12389.9	7614.9	41.523
3258.czi	34502.8	888.34	38.8702
3258.czi	23586.8	8266.4	36.428
3258.czi	22938.8	11009.4	67.4161
3258.czi	18213.1	11948.3	41.592
3258.czi	16360.3	7444.6	36.9032
3258.czi	12094.2	12464.9	55.0885
3258.czi	18779.9	7404.8	37.5966
3258.czi	21410.1	11767.3	53.9449
3258.czi	5018	13087.6	62.2534
3258.czi	8907.9	11019.5	34.6223
3258.czi	26660.3	3239.9	44.6428
3258.czi	30445.2	6597.3	38.0279
3258.czi	24648.1	7852.6	71.6263
3258.czi	28537.9	4572.2	71.4166
3258.czi	7186.8	9210.9	98.3465
3258.czi	21514.2	8907	66.6804
3258.czi	8665.6	7740.9	47.5519
3258.czi	21770.7	9285.5	40.4479
3258.czi	7365.9	10966.8	69.7509
3258.czi	10679.9	10714.3	53.0121
3258.czi	4659.3	3740.3	45.4467
3258.czi	18606.4	7535	57.2048
3258.czi	21439.3	8463.5	84.5819
3258.czi	22446.9	7016.7	47.1518
3258.czi	14259.7	4173.4	146.242
3258.czi	29901.1	7252.1	31.5975
3258.czi	7989.5	3363.1	92.1099
3258.czi	25359.7	3720.9	46.4578
3258.czi	20405	10061.4	42.8677
3258.czi	4756.1	13174.1	42.3409
3258.czi	24801.9	2410.1	48.6933
3258.czi	27108	4770.6	82.7362
3258.czi	17457.1	7889	49.3227
3258.czi	20566.8	3451.3	51.3429
3258.czi	22614.9	7551.3	65.7337
3258.czi	20826.6	10111.4	65.1029
3258.czi	32596.2	3429.1	35.7939
3258.czi	20415.4	9850.7	45.7441
3258.czi	20449.6	9857.7	76.5348
3258.czi	27867.6	4972	49.6597
3258.czi	16313.2	9693.1	57.6848
3258.czi	8280.2	13569.5	52.6521
3258.czi	20170.1	4390.8	34.288
3258.czi	10692	12889.8	275.6906
3258.czi	15337.1	2441.3	71.5486
3258.czi	18079	10633.2	38.0597
3258.czi	14874.3	10688.3	45.0555
3258.czi	21106.3	7392.8	56.8543
3258.czi	20089.7	7987	50.929
3258.czi	29519.1	7172.1	49.9345
3258.czi	22570.9	11368.3	54.8002
3258.czi	15797.5	5788.8	65.4764
3258.czi	22654.3	7598.1	84.5027
3258.czi	7038.8	2626.5	65.2585
3258.czi	5968.9	7221.1	48.9933
3258.czi	14751.3	12365.2	110.9716
3258.czi	25709.7	7543.3	58.2386
3258.czi	24485.6	10267.2	49.5392
3258.czi	23593.6	6602.5	72.2755
3258.czi	6251.7	4483.3	73.5143
3258.czi	20714.1	10342.7	73.6657
3258.czi	24073.9	8904	49.3177
3258.czi	25765.8	8749.5	48.6862
3258.czi	22841.2	3337.8	35.3156
3258.czi	30284	3180.8	34.9622
3258.czi	19182.7	8261	113.1535
3258.czi	16531.4	9045.6	37.2443
3258.czi	12768.2	988.43	45.0744
3258.czi	26641.4	6670.4	48.2048
3258.czi	33053	3710.4	40.9377
3258.czi	28809.5	1625.1	45.3377
3258.czi	13564.3	1170.9	32.4706
3258.czi	3953.9	6444.7	47.6543
3258.czi	23888.1	3154.2	34.714
3258.czi	8245.7	8256.3	44.9726
3258.czi	22789.4	8228.9	47.1325
3258.czi	7431.1	13021.4	56.849
3258.czi	19956.9	8901.8	51.2136
3258.czi	20597.8	9716.7	119.7111
3258.czi	21934.6	11075.7	57.9562
3258.czi	26766.9	9508.5	83.1366
3258.czi	22587.6	9743.9	94.9404
3258.czi	8007.6	2179.3	75.9535
3258.czi	12066.7	12405	64.4968
3258.czi	29720.7	3310	46.5831
3258.czi	13020.4	11857.1	48.9324
3258.czi	25656.8	8411	62.2628
3258.czi	4564.2	3756.1	45.3919
3258.czi	26071.7	5232.7	40.301
3258.czi	16570.4	10634.2	64.4977
3258.czi	17672.3	6179	88.7598
3258.czi	21016.6	11241.1	65.47
3258.czi	16405.2	10413.3	39.2076
3258.czi	25105	10581.4	50.8703
3258.czi	9204	8209.3	35.3466
3258.czi	9651.4	3245.2	116.4161
3258.czi	28008.9	7481.8	43.1625
3258.czi	20675.9	11714.6	50.4477
3258.czi	14302.8	4593.8	62.5703
3258.czi	1594	5812.2	47.7738
3258.czi	1664.1	5745.3	37.365
3258.czi	18857.3	11498.7	49.3687
3258.czi	11102.5	9024.7	42.4074
3258.czi	17021.8	10131.1	41.538
